0.475725,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.061434,-0.000000,-0.000000,0.000000,0.000000,-1037561.437500,ovf,-0.000001,ovf,0.000000,-0.000000
0.020000,0.173700,0.000000,0.000000,0.000290,0.000000,0.000000,-0.000291,0.174045,0.000000,0.000263,-13.313136,0.000003,-0.000251,0.000000,0.000000,0.000000,0.000000
1.600000,2.287054,0.000000,0.000001,0.023160,0.000000,-0.000003,-0.023297,2.291590,0.000251,0.021041,-175.289383,-0.000020,-0.003262,0.000000,0.000000,0.000000,0.000000
0.070000,-2.214679,0.000000,0.000099,0.001013,0.000000,0.000017,-0.000931,-2.228425,0.003513,0.001469,97.548080,-0.000045,0.001857,0.000000,0.000000,0.000000,0.000000
-0.690000,-1.100102,0.000000,0.000120,-0.009988,0.000000,0.000062,0.010493,-1.114116,0.001656,-0.023424,34.479279,0.000007,0.000586,0.000000,0.000000,0.000000,0.000000
-0.280000,0.593476,0.000000,0.000105,-0.004053,0.000000,0.000054,0.004428,0.606209,0.001070,-0.012655,-14.653944,0.000023,-0.000313,0.000000,0.000000,0.000000,0.000000
-1.060000,-1.129052,0.000000,0.000110,-0.015344,0.000000,0.000031,0.016985,-1.166190,0.001383,-0.058577,23.360298,0.000024,0.000284,0.000000,0.000000,0.000000,0.000000
-1.540000,-0.694801,0.000000,0.000081,-0.022292,0.000000,0.000007,0.025523,-0.727206,0.001098,-0.102103,12.558296,0.000055,-0.000039,0.000000,0.000000,0.000000,0.000000
0.430000,2.851580,0.000000,0.000031,0.006224,0.000000,-0.000048,-0.007373,3.030334,0.001137,0.033248,-46.421955,0.000037,-0.000789,0.000000,0.000000,0.000000,0.000000
-2.930000,-4.863609,0.000000,0.000067,-0.042412,0.000000,-0.000085,0.053027,-5.260066,0.001926,-0.263815,73.041359,0.000044,0.000671,0.000000,0.000000,0.000000,0.000000
-1.570000,1.968603,0.000000,-0.000041,-0.022726,0.000000,-0.000129,0.029826,2.171072,0.001255,-0.160959,-27.793442,0.000122,-0.000963,0.000000,0.000000,0.000000,0.000000
2.140000,5.370235,0.000000,-0.000091,0.030977,0.000000,-0.000251,-0.043196,6.052277,0.002218,0.249451,-72.403481,-0.000002,-0.000694,0.000000,0.000000,0.000000,0.000000
0.890000,-1.809378,0.000000,0.000014,0.012883,0.000000,-0.000248,-0.018989,-2.088293,0.002913,0.116063,23.604347,-0.000091,0.000762,0.000000,0.000000,0.000000,0.000000
-0.430000,-1.910703,0.000000,0.000066,-0.006224,0.000000,-0.000157,0.009882,-2.262387,0.002150,-0.063346,24.381920,-0.000016,0.000289,0.000000,0.000000,0.000000,0.000000
0.980000,2.040979,0.000000,0.000064,0.014186,0.000000,-0.000142,-0.023685,2.483454,0.001862,0.158044,-25.711542,-0.000017,-0.000060,0.000000,0.000000,0.000000,0.000000
0.910000,-0.101325,0.000000,0.000121,0.013172,0.000000,-0.000125,-0.023428,-0.127315,0.001921,0.161712,1.274242,-0.000066,0.000462,0.000000,0.000000,0.000000,0.000000
-1.440000,-3.010805,0.000000,0.001426,-0.020844,0.000000,0.001439,0.022904,-3.034873,0.001969,-0.040889,117.442955,0.000005,0.002112,0.000000,0.000000,0.000000,0.000000
3.360000,6.948012,0.000000,0.001465,0.048636,0.000000,0.001434,-0.048298,7.003203,-0.000143,0.086224,-271.008698,0.000002,-0.004902,0.000000,0.000000,0.000000,0.000000
